"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SDPR",4264.41453264075,-4.58746440317858,0.553648368027281,-6.47968026341552,9.19171914822533e-11,4.41228051668005e-08
"RAD54L",320.168622498639,4.36018180774917,0.85774263578657,3.91747089109988,8.94828470948571e-05,0.00520657602911187
"PDE8B",696.816155096766,-4.32349289798509,0.64592459905487,-5.14532640937981,2.67056051673866e-07,4.0550569109463e-05
"HSD17B6",155.515902218699,3.65761332167139,0.432595685038629,6.14341153549435,8.07676633994535e-10,2.9696723217148e-07
"AOC3",32124.0891195427,-5.25064802771696,0.772661371473006,-5.50130779750708,3.76984423742315e-08,8.04279978603821e-06
"AKR1C3",4282.9920876188,-3.1397004466328,0.474477378588257,-4.50959422554387,6.49517411288589e-06,0.00057857270023083
"SLC4A4",962.814312160039,-5.66047885638602,0.770630272721656,-6.0476197488667,1.47001400124641e-09,4.88525229914217e-07
"MYOM1",1122.55085079275,-5.10542203863476,0.695592602555486,-5.90204959562847,3.59013196374126e-09,1.02399134302528e-06
"WISP1",528.510705495486,3.64148679375074,0.68954333100589,3.83077708821778,0.000127739192282639,0.00675064520439232
"GYG2",16229.7439068974,-5.46889443504288,0.893277207455163,-5.00280808437306,5.65011829999298e-07,7.62810112048271e-05
"PKMYT1",729.955896047097,5.72966304730727,1.03190299608291,4.58343765379207,4.57393304928616e-06,0.00044157618449561
"CCNB2",912.058721943732,4.57843737938931,0.855821174187348,4.18129100718646,2.89858602161174e-05,0.00204450877712133
"SYNGR3",98.1091890166674,4.36989942106575,0.725847769171766,4.64270824295706,3.43871767822642e-06,0.000343494105187462
"EXO1",696.540255002303,5.05652467319447,1.07857658735418,3.76099826452326,0.000169236604305107,0.00823824720844098
"SLC16A7",1205.67226949194,-4.95046484403046,0.977212032112355,-4.04258719112482,5.28646447627792e-05,0.0033710476979542
"AURKB",551.316550654997,5.3558312585814,1.02444169796919,4.25190742158995,2.11957484084852e-05,0.00159949226308748
"DLGAP2",34.8904417074478,-4.43290287977489,0.874947656475537,-3.92355228837724,8.72528171960272e-05,0.0051112404541171
"PTTG1",875.621673993093,4.48780270302097,0.871600866201866,4.00160536579042,6.29141675979105e-05,0.00391086233906292
"GPR37L1",57.4341906221157,5.40068536733826,1.0302408609566,4.27151119132677,1.94152781929777e-05,0.00149117965534599
"TRIP13",1341.66058942058,4.23458240450605,0.794172458632584,4.07289672330793,4.64320167499253e-05,0.00301651008065962
"GLP2R",27.2796121823226,-7.71526878943439,1.4824942884345,-4.52970972085542,5.90647796964813e-06,0.000542924711667497
"ADIPOQ",136397.929705801,-7.66862385723091,1.47046139558057,-4.53505537600188,5.75883739063498e-06,0.000535045531976146
"FHL5",342.806687742475,-3.6741473234929,0.51930308626099,-5.14949245294671,2.6119228298772e-07,4.0300570020632e-05
"ONECUT2",203.686456198779,4.85136609915774,1.00494626027663,3.83241000180208,0.000126894027115415,0.00672655117356284
"KIF23",1371.73213645486,4.21411103842184,0.806664538265289,3.98444568461346,6.76378249346439e-05,0.0041448555060127
"DLGAP5",1043.59502883726,5.43354837614658,1.13608669191201,3.90247364722229,9.52146073924096e-05,0.00543037501765092
"MELK",1346.27162641355,5.51874899974448,0.984235249674303,4.59112697014234,4.40859023912851e-06,0.000428004763608875
